episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
102, 2233.1671320199966, 1, 2.3238014349999503, 118, 70558,                                             70558, 0.0, 4388.15673828125
103, -5126.327321708202, 2, 15.530016993000118, 856, 71414,                                             71414, 0.0, 4563.82568359375
104, 2106.855051755905, 1, 2.721003684000152, 148, 71562,                                             71562, 0.0, 3624.182861328125
105, -2685.4419497847557, 2, 2.300700832000075, 118, 71680,                                             71680, 0.0, 4776.23828125
106, -4565.782909274101, 2, 9.12634024099998, 500, 72180,                                             72180, 0.0, 4457.15185546875
107, -3784.5356476306915, 2, 5.704956472000049, 290, 72470,                                             72470, 0.0, 3867.836181640625
108, -2866.976385474205, 2, 4.722579131000202, 260, 72730,                                             72730, 0.0, 4234.85009765625
109, -5114.260222196579, 2, 12.132057927000005, 668, 73398,                                             73398, 0.0, 4151.77978515625
110, -3080.317822933197, 2, 2.522070900000017, 132, 73530,                                             73530, 0.0, 4037.55029296875
111, -2943.248457670212, 2, 4.741440753999996, 243, 73773,                                             73773, 0.0, 4203.796875
112, -5195.179534614086, 2, 14.730451887000072, 804, 74577,                                             74577, 0.0, 4018.087158203125
113, -3380.1466603279114, 3, 6.9222375129998, 375, 74952,                                             74952, 0.0, 3835.462890625
114, -3051.3415499925613, 2, 3.922519760999876, 214, 75166,                                             75166, 0.0, 3958.248046875
115, -5417.395672380924, 2, 9.933499655000105, 551, 75717,                                             75717, 0.0, 4179.4482421875
116, -3764.2341512441635, 3, 6.324811714999669, 344, 76061,                                             76061, 0.0, 3847.618408203125
117, -4133.512363910675, 2, 6.521978622999995, 350, 76411,                                             76411, 0.0, 4128.19091796875
118, -6453.742727577686, 3, 22.334596117000274, 1220, 77631,                                             77631, 0.0, 3873.838623046875
119, -4084.156698167324, 2, 7.929615217999981, 430, 78061,                                             78061, 0.0, 4014.9111328125
120, -3992.4077800512314, 2, 7.724258572000053, 417, 78478,                                             78478, 0.0, 4172.0205078125
121, -3461.6961594820023, 2, 5.510842362999938, 294, 78772,                                             78772, 0.0, 3909.150146484375
122, -3121.6029505729675, 2, 3.72584815800019, 200, 78972,                                             78972, 0.0, 4184.34130859375
123, -5125.972179412842, 2, 12.329804518000401, 684, 79656,                                             79656, 0.0, 4810.2177734375
124, -3145.063506126404, 2, 4.719061981999857, 252, 79908,                                             79908, 0.0, 3803.242431640625
125, -5169.304053425789, 2, 13.329396352999993, 738, 80646,                                             80646, 0.0, 4281.61572265625
126, -3416.879123687744, 2, 7.12677990200018, 387, 81033,                                             81033, 0.0, 3920.616943359375
127, -3193.6040432453156, 2, 4.132669712000279, 222, 81255,                                             81255, 0.0, 4221.169921875
128, -3565.9335519075394, 2, 6.123959857000045, 337, 81592,                                             81592, 0.0, 4454.5126953125
