episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
30, -3323.5174481868744, 2, 3.2698596919999545, 178, 30488,                                             30488, 0.0, 6403.06591796875
31, -3223.110528230667, 2, 3.6780214059999707, 184, 30672,                                             30672, 0.0, 7197.59326171875
32, -3085.7404642105103, 2, 1.634846204999576, 86, 30758,                                             30758, 0.0, 8427.462890625
33, -3563.302693605423, 2, 6.063570006000191, 323, 31081,                                             31081, 0.0, 6451.3056640625
34, -3542.8210278749466, 2, 5.028580178000084, 245, 31326,                                             31326, 0.0, 7631.37109375
35, -3060.817627429962, 2, 3.5253466240001217, 175, 31501,                                             31501, 0.0, 7195.3134765625
36, -2650.9553661346436, 2, 2.079717574999904, 112, 31613,                                             31613, 0.0, 6646.22509765625
37, -2799.062607049942, 2, 2.1602440579999893, 111, 31724,                                             31724, 0.0, 8243.35546875
38, -4166.634015798569, 2, 5.487877455000216, 272, 31996,                                             31996, 0.0, 6844.505859375
39, -5555.918617129326, 2, 9.539451668999845, 492, 32488,                                             32488, 0.0, 7129.90771484375
40, -3245.810427904129, 2, 3.4783222549999664, 202, 32690,                                             32690, 0.0, 6374.013671875
41, -2789.504241466522, 2, 1.9752536700002565, 117, 32807,                                             32807, 0.0, 7734.5703125
42, -3275.996754169464, 2, 2.296028437000132, 138, 32945,                                             32945, 0.0, 6815.39306640625
43, -2802.2195250988007, 2, 2.309414593999918, 137, 33082,                                             33082, 0.0, 6277.40576171875
44, -2978.0239696502686, 2, 2.1913984450002317, 125, 33207,                                             33207, 0.0, 5796.7265625
45, -3135.9991137981415, 2, 2.731647062999855, 158, 33365,                                             33365, 0.0, 6111.7685546875
46, -3070.5743725299835, 2, 3.7765285779996702, 196, 33561,                                             33561, 0.0, 6447.61279296875
47, -4419.425889968872, 2, 4.717310064999765, 244, 33805,                                             33805, 0.0, 5715.658203125
48, -4359.892363786697, 2, 9.147523376000208, 468, 34273,                                             34273, 0.0, 7334.5419921875
49, -2901.3242831230164, 2, 2.4410426640001788, 128, 34401,                                             34401, 0.0, 6618.71533203125
50, -3187.514407634735, 2, 2.514128964000065, 115, 34516,                                             34516, 0.0, 8159.6689453125
51, -4557.549597501755, 2, 6.139433864000239, 324, 34840,                                             34840, 0.0, 7511.16259765625
52, -2550.963465452194, 2, 1.4002806690000398, 67, 34907,                                             34907, 0.0, 7019.876953125
53, -3553.179167151451, 2, 4.630050827999639, 248, 35155,                                             35155, 0.0, 7182.5634765625
54, -2746.329403400421, 2, 2.424523181999575, 126, 35281,                                             35281, 0.0, 5830.814453125
55, -2890.366411924362, 2, 2.549204145999738, 134, 35415,                                             35415, 0.0, 7325.91162109375
56, -4536.692135453224, 2, 9.512032366999847, 393, 35808,                                             35808, 0.0, 7490.8740234375
57, -4056.763731241226, 2, 4.682613694999873, 249, 36057,                                             36057, 0.0, 7786.27001953125
58, -2856.27908039093, 2, 2.307727415000045, 122, 36179,                                             36179, 0.0, 5875.095703125
59, -2967.173323869705, 2, 2.2753807559997767, 117, 36296,                                             36296, 0.0, 5878.8515625
60, -3166.555876493454, 2, 4.4331782049998765, 210, 36506,                                             36506, 0.0, 6745.728515625
61, -2862.1887226104736, 2, 2.340584920999845, 124, 36630,                                             36630, 0.0, 5730.66064453125
62, -3530.211767435074, 2, 5.692301051999948, 288, 36918,                                             36918, 0.0, 6484.923828125
63, -3044.475539803505, 3, 3.639459152999734, 192, 37110,                                             37110, 0.0, 5996.92529296875
64, -2572.1045739650726, 2, 1.5856067219997385, 83, 37193,                                             37193, 0.0, 4543.87939453125
65, -8494.60617005825, 2, 19.98562618400001, 1083, 38276,                                             38276, 0.0, 6511.62548828125
66, -3276.304942727089, 2, 3.6358976269998493, 199, 38475,                                             38475, 0.0, 6990.85791015625
67, -2921.7508268356323, 2, 3.2092492070000844, 164, 38639,                                             38639, 0.0, 6060.35302734375
68, -2591.596480369568, 2, 1.4537807040001098, 76, 38715,                                             38715, 0.0, 7437.60693359375
69, -2433.850252389908, 2, 1.1953477870001734, 64, 38779,                                             38779, 0.0, 6639.2919921875
70, -3129.49498128891, 2, 4.136944600999868, 229, 39008,                                             39008, 0.0, 6978.4609375
71, -2854.0196149349213, 2, 2.580884280999726, 127, 39135,                                             39135, 0.0, 6507.8408203125
72, -3303.650173664093, 3, 4.3775570059997335, 200, 39335,                                             39335, 0.0, 6910.728515625
73, -2842.8863397836685, 2, 3.199731644000167, 140, 39475,                                             39475, 0.0, 7325.59423828125
74, -3114.0227323770523, 3, 4.013602895000076, 191, 39666,                                             39666, 0.0, 8448.87890625
75, -3647.4923520088196, 2, 5.401923716000056, 272, 39938,                                             39938, 0.0, 7816.8310546875
76, -4958.169146299362, 2, 8.294356828999753, 457, 40395,                                             40395, 0.0, 7666.447265625
77, -3132.0918872356415, 2, 2.866084362000038, 162, 40557,                                             40557, 0.0, 8405.708984375
78, -4563.741815567017, 2, 7.63389952100033, 407, 40964,                                             40964, 0.0, 7491.72900390625
79, -3567.7778120040894, 2, 4.722265337999943, 245, 41209,                                             41209, 0.0, 7719.1611328125
80, -3529.093347787857, 2, 3.250790751000295, 180, 41389,                                             41389, 0.0, 7526.8388671875
81, -3628.7306962013245, 2, 5.778251528000055, 279, 41668,                                             41668, 0.0, 8006.8798828125
82, -4035.207781434059, 2, 8.93028656999968, 393, 42061,                                             42061, 0.0, 7636.23388671875
83, -2791.0294671058655, 2, 3.576092314000107, 194, 42255,                                             42255, 0.0, 8318.517578125
84, -4282.888041734695, 2, 5.849172823000117, 307, 42562,                                             42562, 0.0, 6872.82568359375
85, -3057.631833076477, 2, 2.30654542100001, 125, 42687,                                             42687, 0.0, 8733.4013671875
86, -2946.5344331264496, 2, 2.5027375050003684, 138, 42825,                                             42825, 0.0, 5996.0732421875
87, -2781.895545721054, 2, 2.204540342999735, 118, 42943,                                             42943, 0.0, 7175.67724609375
88, -2832.4750916957855, 2, 2.299059961000239, 121, 43064,                                             43064, 0.0, 7385.79541015625
89, -3202.046663045883, 2, 2.9011688740001773, 163, 43227,                                             43227, 0.0, 7340.384765625
90, -7257.243558168411, 2, 16.835642504000134, 933, 44160,                                             44160, 0.0, 7018.7734375
91, -3255.7381842136383, 2, 2.9851977339999394, 168, 44328,                                             44328, 0.0, 7877.90869140625
92, -2820.4921205043793, 2, 2.376527408000129, 122, 44450,                                             44450, 0.0, 6877.71142578125
93, -2873.0787459611893, 2, 2.1260799830001815, 120, 44570,                                             44570, 0.0, 8724.1044921875
94, -3016.401407957077, 2, 2.4133778330001405, 135, 44705,                                             44705, 0.0, 7222.619140625
95, -2905.3483831882477, 2, 2.195444802000111, 124, 44829,                                             44829, 0.0, 8328.96875
96, -5462.688405513763, 2, 7.199754129000212, 406, 45235,                                             45235, 0.0, 7236.36376953125
97, -5338.132823944092, 2, 7.0508529949997865, 382, 45617,                                             45617, 0.0, 6779.00341796875
98, -3032.730063199997, 2, 2.802512235999984, 157, 45774,                                             45774, 0.0, 7566.82568359375
99, -2818.000792503357, 2, 2.1334973850002825, 120, 45894,                                             45894, 0.0, 6844.89501953125
100, -2930.907863855362, 2, 2.4999359260000347, 131, 46025,                                             46025, 0.0, 7648.8974609375
101, -5892.97850227356, 2, 9.26504308299991, 516, 46541,                                             46541, 0.0, 6841.2802734375
102, -3479.275322675705, 2, 4.466284487000394, 248, 46789,                                             46789, 0.0, 6149.41845703125
103, -2792.8791694641113, 3, 2.0819746269999087, 118, 46907,                                             46907, 0.0, 6122.22119140625
104, -3117.8024747371674, 2, 2.5361983009997857, 142, 47049,                                             47049, 0.0, 6538.0986328125
105, -4660.029845118523, 2, 7.996670995999921, 446, 47495,                                             47495, 0.0, 6433.5615234375
106, -3276.413731813431, 2, 2.23520347900012, 125, 47620,                                             47620, 0.0, 7339.09521484375
